Time,visa,mastercard,union,bnu,boc,hsbc,jcb
2024-05-25 11:33:11.422413+00:00,111.24242935999999,111.25228,111.135808,112.08,111.96,111.742395,111.73730976223382
2024-05-25 15:32:03.884941+00:00,111.24242935999999,111.25228,111.135808,112.08,111.96,111.742395,111.73730976223382
2024-05-25 19:32:17.308218+00:00,111.24242935999999,111.25228,111.135808,112.08,111.96,111.742395,111.73730976223382
2024-05-26 09:42:20.561255+00:00,111.24242935999999,111.25228,111.135808,112.08,111.96,111.742395,111.73730976223382
2024-05-26 11:32:16.559168+00:00,111.24242935999999,111.25228,111.135808,112.08,111.96,111.742395,111.73730976223382
2024-05-26 15:31:54.045062+00:00,111.24242935999999,111.25228,111.135808,112.08,111.96,111.742395,111.73730976223382
2024-05-26 19:32:16.364134+00:00,111.24242935999999,111.25228,111.135808,112.08,111.96,111.742395,111.73730976223382
2024-05-27 09:38:55.977325+00:00,111.24242935999999,111.25228,111.135808,112.14,111.96,111.83523000000002,111.73730976223382
2024-05-27 11:35:26.382067+00:00,111.24242935999999,111.25228,111.209964,112.14,111.92,111.80428500000002,111.77738884272934
2024-05-27 15:32:15.669546+00:00,111.24242935999999,111.25228,111.209964,112.14,111.88,111.763025,111.77738884272934
2024-05-27 19:32:10.221030+00:00,111.24242935999999,111.25228,111.209964,112.14,111.89,111.77333999999999,111.77738884272934
2024-05-28 09:37:52.965475+00:00,111.24242935999999,111.23231,111.209964,112.01,111.85,111.71145,111.77738884272934
2024-05-28 11:33:53.942894+00:00,111.24242935999999,111.23231,111.111111,112.01,111.86,111.73208000000001,111.67099994727918
2024-05-28 15:32:00.490368+00:00,111.24242935999999,111.23231,111.111111,112.01,111.81,111.69082000000002,111.67099994727918
2024-05-28 19:32:07.132142+00:00,111.24242935999999,111.23231,111.111111,112.01,111.84,111.72176499999999,111.67099994727918
2024-05-29 09:41:01.339234+00:00,111.18740953999999,111.23074,111.111111,111.99,111.83,111.73208000000001,111.67099994727918
2024-05-29 11:32:48.000174+00:00,111.18740953999999,111.23074,111.172874,111.99,111.83,111.71145,111.72803061242608
2024-05-29 15:32:19.079293+00:00,111.18740953999999,111.23074,111.172874,111.99,111.78,111.69082000000002,111.72803061242608
2024-05-29 19:32:15.433434+00:00,111.18740953999999,111.23074,111.172874,111.99,111.68,111.56703999999999,111.72803061242608
2024-05-30 11:32:37.912311+00:00,111.1665381,111.15709,111.14816,111.92,111.84,111.71145,111.69256593497359
2024-05-30 15:32:59.148904+00:00,111.1665381,111.15709,111.14816,112.20000000000002,111.95,111.85586,111.69256593497359
2024-05-30 19:31:56.984330+00:00,111.1665381,111.15709,111.14816,112.20000000000002,112.08,111.95900999999999,111.69256593497359
2024-05-31 09:39:06.816319+00:00,111.35450468999998,111.47981,111.14816,112.32,112.08,112.02090000000003,111.69256593497359
2024-05-31 11:32:42.257549+00:00,111.35450468999998,111.47981,111.30899400000001,112.32,112.04,111.91775000000001,112.01225853263108
2024-05-31 15:32:21.041329+00:00,111.35450468999998,111.47981,111.30899400000001,112.32,111.93,111.82491500000002,112.01225853263108
2024-05-31 19:33:15.681795+00:00,111.35450468999998,111.47981,111.30899400000001,112.32,111.99,111.90743499999999,112.01225853263108
2024-06-01 09:42:51.659984+00:00,111.48821753,111.46267999999999,111.30899400000001,112.32,112.03,111.82491500000002,112.01225853263108
2024-06-01 11:34:33.266610+00:00,111.48821753,111.46267999999999,111.30899400000001,112.32,112.03,111.82491500000002,112.01225853263108
2024-06-01 15:32:20.641314+00:00,111.48821753,111.46267999999999,111.30899400000001,112.32,112.03,111.82491500000002,112.01225853263108
2024-06-01 19:33:11.488484+00:00,111.48821753,111.46267999999999,111.30899400000001,112.32,112.03,111.82491500000002,112.01225853263108
2024-06-02 09:42:39.992706+00:00,111.48821753,111.46267999999999,111.30899400000001,112.32,112.03,111.82491500000002,112.01225853263108
2024-06-02 11:32:08.526410+00:00,111.48821753,111.46267999999999,111.30899400000001,112.32,112.03,111.82491500000002,112.01225853263108
2024-06-02 15:32:18.686479+00:00,111.48821753,111.46267999999999,111.30899400000001,112.32,112.03,111.82491500000002,112.01225853263108
2024-06-02 19:32:05.867110+00:00,111.48821753,111.46267999999999,111.30899400000001,112.32,112.03,111.82491500000002,112.01225853263108
2024-06-03 09:40:54.691862+00:00,111.48821753,111.46267999999999,111.30899400000001,112.21000000000001,112.02,111.87649000000002,112.01225853263108
2024-06-03 11:33:38.232536+00:00,111.48821753,111.46267999999999,111.333779,112.21000000000001,111.98,111.87649000000002,111.88997532022469
2024-06-03 15:32:10.751776+00:00,111.48821753,111.46267999999999,111.333779,112.21000000000001,111.99,111.87649000000002,111.88997532022469
2024-06-03 19:32:03.245020+00:00,111.48821753,111.46267999999999,111.333779,112.21000000000001,112.01,111.89712,111.88997532022469
2024-06-04 09:39:07.716277+00:00,111.32650154,111.45481,111.333779,112.32,112.09,111.97964,111.88997532022469
2024-06-04 11:33:16.068411+00:00,111.32650154,111.45481,111.30899400000001,112.32,112.02,111.89712,111.88225024598273
2024-06-04 15:31:54.783596+00:00,111.32650154,111.45481,111.30899400000001,112.32,112.02,111.90743499999999,111.88225024598273
2024-06-04 19:32:08.725367+00:00,111.32650154,111.45481,111.30899400000001,112.32,112.16,112.02090000000003,111.88225024598273
2024-06-05 09:38:49.079867+00:00,111.26404869999999,111.36448000000001,111.30899400000001,112.26,112.04,111.93838000000001,111.88225024598273
2024-06-05 11:35:01.094233+00:00,111.26404869999999,111.36448000000001,111.16051600000002,112.26,111.95,111.83523000000002,111.84068089539458
2024-06-05 15:32:21.304976+00:00,111.26404869999999,111.36448000000001,111.16051600000002,112.26,111.96,111.83523000000002,111.84068089539458
2024-06-05 19:32:27.639336+00:00,111.26404869999999,111.36448000000001,111.16051600000002,112.26,111.96,111.82491500000002,111.84068089539458
2024-06-06 09:38:25.741096+00:00,111.1939942,111.17703999999999,111.16051600000002,112.11,111.92,111.79397000000002,111.84068089539458
2024-06-06 11:33:25.474808+00:00,111.1939942,111.17703999999999,111.09876700000001,112.11,111.93,111.80428500000002,111.65713217558624
2024-06-06 15:32:11.271559+00:00,111.1939942,111.17703999999999,111.09876700000001,112.11,111.85,111.73208000000001,111.65713217558624
2024-06-06 19:33:19.610895+00:00,111.1939942,111.17703999999999,111.09876700000001,112.01,111.85,111.75271,111.65713217558624
